geneIDs	a_cell	a_donor	geneIDs	b_cell	b_donor	geneIDs	g_cell	g_donor	geneIDs	d_cell	d_donor	geneIDs	acinar_cell	acinar_donor	geneIDs	ductal_cell	ductal_donor	rank	geneIDs	correlation	p-value	adj p-value	RefSeq	RPKM
'CELF3'	0.676	0.587	'PLXNB2'	0.664	0.527							'FNTA'	0.612	0.289	'BRI3'	0.76	0.644	41	'APH1A'	0.66	7.39E-111	3.44E-107	459322	5126
'RPS12'	0.674	0.574	'PNPLA2'	0.664	0.576							'GOLGA2P7'	0.61	0.269	'LAMA5'	0.76	0.437	42	'AES'	0.66	3.60E-110	1.64E-106	1247213	6058
'RPL3'	0.673	0.512	'FBXO2'	0.662	0.497							'VEGFB'	0.609	0.371	'SNRNP70'	0.758	0.665	43	'SNHG7'	0.66	5.18E-110	2.31E-106	612488	3723
'UBA52'	0.672	0.593	'TCEA2'	0.66	0.538							'DNAJB2'	0.609	0.44	'ATF6B'	0.757	0.396	44	'GAA'	0.66	2.48E-108	1.08E-104	684485	4978
'RPL31'	0.67	0.467	'TSR3'	0.658	0.588							'LINC01278'	0.607	0.399	'LAMP1'	0.757	0.51	45	'CTSD'	0.66	6.12E-108	2.61E-104	419802	4224
'NUCB1'	0.668	0.587	'KCNQ2'	0.657	0.276							'BOK'	0.605	0.521	'CDC42EP5'	0.757	0.214	46	'RPL11'	0.66	1.39E-107	5.80E-104	1215978	4973
'RPL14'	0.666	0.589	'CDK5R2'	0.655	0.573							'WIZ'	0.604	0.323	'HES4'	0.755	0.242	47	'TAPT1-AS1'	0.66	5.02E-107	2.05E-103	547078	5611
'RPL23'	0.666	0.517	'MAPRE3'	0.655	0.593							'HPN'	0.604	0.352	'C17orf70'	0.754	0.415	48	'CHPF'	0.65	1.34E-105	5.35E-102	509957	1395
'CDK5R2'	0.666	0.573	'SLC25A29'	0.653	0.563							'SRSF9'	0.602	0.443	'JUP'	0.754	0.566	49	'GNB2'	0.65	1.40E-105	5.48E-102	2338009	4999
'C1orf122'	0.664	0.567	'SPPL3'	0.65	0.422							'CDK18'	0.601	0.371	'GPC1'	0.754	0.32	50	'PSD'	0.65	2.88E-104	1.11E-100	897932	3160
'FIS1'	0.661	0.57	'LDOC1'	0.65	0.572							'DYNLL1'	-0.605	0.045	'ITM2C'	0.754	0.368	51	'AKT1S1'	0.65	2.96E-104	1.12E-100	553477	5004
'FAU'	0.66	0.587	'CMTM8'	0.649	0.415							'RBP4'	-0.614	-0.291	'GAA'	0.752	0.658	52	'NENF'	0.65	3.20E-104	1.19E-100	481765	5283
'CLDN7'	0.655	0.594	'TMEM129'	0.648	0.553							'ARF4'	-0.618	-0.275	'RPS12'	0.751	0.574	53	'RPS2'	0.65	5.46E-104	1.99E-100	904962	6395
'PTPRN'	0.654	0.515	'BOD1'	0.647	0.423							'ENPP2'	-0.628	-0.321	'TRIP6'	0.751	0.129	54	'GLTSCR2'	0.65	1.31E-103	4.70E-100	1050592	4323
'CARM1'	0.653	0.574	'RGS11'	0.646	0.428							'PSMD10'	-0.633	-0.119	'RPL11'	0.746	0.657	55	'MMP24-AS1'	0.65	3.25E-103	1.14E-99	283187	5765
'MGAT4B'	0.653	0.581	'POLR2A'	0.643	0.518							'ATP5O'	-0.65	-0.137	'QSOX1'	0.746	0.412	56	'KDELR1'	0.65	4.00E-103	1.38E-99	1126110	6312
'RPS3'	0.653	0.552	'ACTN4'	0.641	0.573							'TM4SF4'	-0.741	-0.188	'CHCHD10'	0.745	0.631	57	'PCSK1N'	0.64	3.44E-102	1.17E-98	471502	2149
'PTMS'	0.653	0.587	'B3GNT9'	0.639	0.536										'TRABD'	0.744	0.476	58	'BRI3'	0.64	3.62E-102	1.21E-98	442905	5568
'RPS20'	0.65	0.569	'DNAJB2'	0.639	0.44										'NDUFA11'	0.744	0.672	59	'PRKCSH'	0.64	4.78E-102	1.57E-98	543395	5387
'SLC29A4'	0.642	0.521	'SREBF1'	0.638	0.505										'G6PD'	0.743	0.569	60	'EPN1'	0.64	4.19E-101	1.35E-97	882741	4006
'HSPB1'	0.639	0.461	'RBCK1'	0.636	0.482										'ARSA'	0.742	0.63	61	'RPL7A'	0.64	9.31E-101	2.96E-97	11529	1088
'GUK1'	0.638	0.543	'TMEM132A'	0.636	0.37										'TMEM259'	0.74	0.617	62	'DPP7'	0.64	1.18E-100	3.70E-97	963191	4193
'ANXA6'	0.632	0.568	'MAFA'	0.635	0.118										'HLA-C'	0.74	0.411	63	'RPS11'	0.64	1.35E-100	4.16E-97	993988	2648
'RPS24'	0.632	0.524	'TMEM59L'	0.633	0.465										'SDF4'	0.739	0.613	64	'ZNF580'	0.64	2.76E-100	8.37E-97	341486	4238
'TCEB2'	0.63	0.568	'LRP10'	0.631	0.567										'PAK4'	0.739	0.618	65	'AP2A1'	0.64	8.37E-100	2.50E-96	1263621	5056
"NME2,uid_22041'"	0.63	0.555	'NFIC'	0.63	0.504										'ZNF580'	0.738	0.639	66	'RPS15A'	0.64	2.47E-99	7.26E-96	114006	5386
'MAFB'	0.628	0.448	'CORO1B'	0.629	0.545										'CDIPT'	0.738	0.469	67	'R3HDM4'	0.63	2.60E-98	7.54E-95	774798	5092
'SEZ6L2'	0.628	0.518	'OLFM2'	0.625	0.306										'MMP24-AS1'	0.737	0.646	68	'EEF1A2'	0.63	5.08E-98	1.45E-94	1006208	3562
'RPL24'	0.623	0.521	'RPS27'	0.623	0.5										'EPS8L2'	0.737	0.469	69	'CHCHD10'	0.63	3.83E-97	1.08E-93	638173	3513
'SRRM2'	0.622	0.537	'PCBP1'	0.623	0.487										'CLDN7'	0.737	0.594	70	'CST3'	0.63	9.37E-97	2.61E-93	2026457	4974
'LTBP3'	0.621	0.537	'CXXC5'	0.623	0.434										'GRINA'	0.734	0.626	71	'ARSA'	0.63	9.60E-97	2.63E-93	1352657	3775
'APLP1'	0.62	0.428	'THAP11'	0.622	0.416										'TSR3'	0.733	0.588	72	'MIB2'	0.63	1.52E-96	4.12E-93	949617	4884
'FASN'	0.619	0.548	'FLYWCH1'	0.621	0.399										'ZSCAN18'	0.733	0.568	73	'PODXL2'	0.63	4.00E-96	1.07E-92	1335792	3088
'RPS7'	0.617	0.536	'PHF1'	0.619	0.445										'MRPL23'	0.733	0.623	74	'MZT2B'	0.63	2.72E-95	7.18E-92	1366213	4778
'SEPT9'	0.615	0.504	'STMN3'	0.618	0.44										'PTGES2'	0.732	0.54	75	'TPGS1'	0.63	3.28E-95	8.54E-92	917282	6712
'COMTD1'	0.614	0.536	'MLXIPL'	0.617	0.412										'SMARCD3'	0.731	0.434	76	'C9orf16'	0.63	3.42E-95	8.78E-92	994168	4859
'RABAC1'	0.61	0.551	'ACAP3'	0.616	0.559										'TNIP1'	0.73	0.481	77	'GRINA'	0.63	3.53E-95	8.94E-92	904266	5928
'VWA7'	0.608	0.522	'DYRK1B'	0.615	0.483										'RPS15A'	0.728	0.637	78	'NCOR2'	0.62	1.34E-94	3.35E-91	194824	3564
'DRAP1'	0.608	0.553	'DVL3'	0.615	0.535										'TMEM54'	0.727	0.587	79	'PLEC'	0.62	2.05E-94	5.07E-91	813966	4688
'SLC5A1'	0.604	0.449	'SYN1'	0.614	0.501										'AGRN'	0.727	0.305	80	'MRPL23'	0.62	5.45E-94	1.33E-90	962568	4665
'RPL29'	0.602	0.506	'JUND'	0.613	0.46										'FAM134C'	0.726	0.413	81	'H1FX'	0.62	5.14E-93	1.24E-89	1001570	3873
'VSTM2L'	0.601	0.467	'EMC10'	0.613	0.461										'NENF'	0.725	0.649	82	'MAP1LC3A'	0.62	2.92E-92	6.96E-89	392150	4325
'TM4SF4'	-0.604	-0.188	'PIM3'	0.612	0.502										'PTOV1'	0.725	0.597	83	'PAK4'	0.62	3.76E-92	8.87E-89	5550	1170
'B2M'	-0.626	-0.399	'PRKACA'	0.612	0.487										'TLN1'	0.724	0.563	84	'MZT2A'	0.62	4.35E-92	1.01E-88	480113	2739
'SCG5'	-0.677	-0.346	'FAM58A'	0.611	0.46										'WFDC2'	0.723	0.209	85	'RPS29'	0.62	4.65E-92	1.07E-88	1701563	5959
			'PELI3'	0.609	0.418										'RPL7A'	0.721	0.64	86	'ISOC2'	0.62	4.90E-92	1.11E-88	367977	5718
			'ARFGAP1'	0.608	0.456										'RPS20'	0.721	0.569	87	'TMEM259'	0.62	1.69E-91	3.80E-88	641862	3083
			'CLTB'	0.608	0.551										'PLEC'	0.72	0.624	88	'CD151'	0.62	5.78E-91	1.29E-87	1651308	4273
			'APP'	0.607	0.516										'MZT2A'	0.719	0.618	89	'NDUFA3'	0.61	1.92E-90	4.22E-87	832806	4039
			'TESK1'	0.607	0.523										'DIRC2'	0.718	0.245	90	'NPDC1'	0.61	3.10E-90	6.74E-87	663354	5452
			'ECE1'	0.605	0.467										'ATPAF1'	0.717	0.37	91	'SDF4'	0.61	4.43E-90	9.54E-87	928893	3956
			'PHLDB3'	0.605	0.538										'AP2A1'	0.716	0.638	92	'TMED9'	0.61	5.40E-90	1.15E-86	711370	6159
			'LOC100130093'	0.605	0.386										'HDGFRP2'	0.716	0.559	93	'ZFAND3'	0.61	6.87E-90	1.45E-86	698425	2365
			'NAT14'	0.603	0.545										'VWA1'	0.715	0.581	94	'SORBS3'	0.61	5.30E-89	1.11E-85	450980	4687
			'BAIAP2'	0.603	0.497										'CLUH'	0.714	0.351	95	'CLSTN3'	0.61	5.44E-89	1.12E-85	1267919	3866
			'ABCA3'	0.602	0.477										'PNPLA6'	0.713	0.526	96	'CSNK1D'	0.61	6.26E-89	1.28E-85	1837464	4750
			'FAM89B'	0.602	0.461										'DNTTIP1'	0.713	0.334	97	'STUB1'	0.61	1.35E-88	2.73E-85	484791	4640
			'PLEKHH3'	0.602	0.481										'ANP32A'	0.713	0.457	98	'EDF1'	0.61	1.66E-88	3.33E-85	318709	5130
			'MNT'	0.6	0.429										'TSPAN17'	0.713	0.498	99	'RPL35A'	0.61	2.64E-88	5.24E-85	739391	4164
			'G6PC2'	-0.6	-0.146										'CSNK1G2'	0.713	0.458	100	'PDAP1'	0.60	1.90E-86	3.70E-83	590880	6002
			'PFKFB2'	-0.6	0.077										'SLC38A10'	0.712	0.546	101	'FAM173A'	0.60	2.53E-86	4.87E-83	916651	5780
			'PAIP2'	-0.6	-0.318										'NCOR2'	0.712	0.625	102	'PTOV1'	0.60	1.76E-84	3.36E-81	576595	4865
			'YWHAE'	-0.601	-0.398										'UBA52'	0.712	0.593	103	'LOC284889'	0.60	2.06E-84	3.90E-81	948562	7730
			'HSP90AB1'	-0.601	-0.417										'SLC35C1'	0.709	0.385	104	'C19orf43'	0.60	5.58E-84	1.04E-80	673378	4743
			'SCG5'	-0.606	-0.346										'CST3'	0.709	0.63	105	'CNIH2'	0.60	6.99E-84	1.30E-80	631511	3527
			'PFN2'	-0.606	-0.115										'WBP2'	0.708	0.55	106	'CLDN7'	0.59	1.59E-83	2.92E-80	651370	6798
			'ASAH1'	-0.607	-0.389										'RPS19'	0.708	0.521	107	'PLD3'	0.59	4.12E-83	7.50E-80	313840	3210
			'COX7A2'	-0.608	-0.128										'C1QTNF5+MFRP'	0.707	0.145	108	'UBA52'	0.59	4.39E-83	7.92E-80	682601	5539
			'C14orf2'	-0.627	-0.26										'TRAPPC5'	0.707	0.496	109	'MAPRE3'	0.59	4.96E-83	8.87E-80	749938	2171
			'DDX5'	-0.63	-0.556										'PVRL2'	0.707	0.492	110	'CBX6'	0.59	1.40E-82	2.48E-79	1210883	3525
			'RIN2'	-0.63	-0.364										'STARD10'	0.706	0.471	111	'DNAJC4'	0.59	2.71E-82	4.77E-79	858806	3878
			'PPY'	-0.633	-0.56										'ANAPC2'	0.706	0.476	112	'UBE2S'	0.59	4.56E-82	7.94E-79	1359059	4394
			'ALDH1A1'	-0.637	-0.242										'HLA-B'	0.705	0.374	113	'RPL14'	0.59	7.27E-82	1.25E-78	1262186	3438
			'SCG3'	-0.642	-0.202										'GPAA1'	0.705	0.585	114	'RPL30'	0.59	8.65E-82	1.48E-78	807261	2146
			'PPP1CB'	-0.644	-0.524										'CPTP'	0.705	0.363	115	'COX8A'	0.59	1.24E-81	2.10E-78	1290415	3485
			'H2AFZ'	-0.65	-0.445										'YBX3'	0.705	0.061	116	'H2AFJ'	0.59	1.38E-81	2.32E-78	123227	6616
			'SET'	-0.658	-0.575										'GSTP1'	0.704	0.168	117	'LEMD2'	0.59	1.51E-81	2.52E-78	945008	4928
			'CNBP'	-0.659	-0.432										'TMEM51'	0.704	0.353	118	'TSR3'	0.59	2.01E-81	3.33E-78	843646	2725
			'MARCH6'	-0.661	-0.459										'CBX6'	0.702	0.592	119	'RPL12'	0.59	2.74E-81	4.49E-78	1355867	4736
			'LAPTM4A'	-0.664	-0.438										'PNPLA2'	0.702	0.576	120	'MARK2'	0.59	3.16E-81	5.15E-78	1001025	6523
			'PDIA3'	-0.665	-0.442										'MZT2B'	0.701	0.627	121	'NUCB1'	0.59	3.35E-81	5.41E-78	197950	5145
			'PCP4'	-0.665	-0.258										'TCEA2'	0.701	0.538	122	'CELF3'	0.59	3.56E-81	5.70E-78	1216908	4166
			'PRDX3'	-0.669	-0.474										'VAT1'	0.699	0.559	123	'TMEM54'	0.59	4.13E-81	6.56E-78	879322	5783
			'YWHAQ'	-0.686	-0.383										'EDF1'	0.698	0.608	124	'PTMS'	0.59	5.32E-81	8.39E-78	780394	5990
			'PDIA3P1'	-0.694	-0.451										'LRCH4'	0.698	0.574	125	'FAU'	0.59	6.91E-81	1.08E-77	1083602	5290
			'ENPP2'	-0.704	-0.321										'PPP2R4'	0.698	0.51	126	'RNF126'	0.59	1.33E-80	2.06E-77	889529	6156
			'SRP9'	-0.708	-0.605										'SLC39A3'	0.698	0.518	127	'GPAA1'	0.58	2.66E-80	4.10E-77	1228397	3474
			'SERINC1'	-0.714	-0.443										'PLD3'	0.697	0.593	128	'AKAP8L'	0.58	1.38E-79	2.11E-76	5270	1204
			'TMEM59'	-0.723	-0.479										'RNPEPL1'	0.697	0.43	129	'RPS5'	0.58	3.00E-79	4.56E-76	1191172	4709
			'UBE2D3'	-0.728	-0.371										'FAU'	0.697	0.587	130	'MAZ'	0.58	4.10E-79	6.18E-76	3077	1018
			'H3F3B'	-0.732	-0.536										'UBE2Z'	0.696	0.502	131	'MGAT4B'	0.58	5.46E-79	8.15E-76	553994	2488
			'B2M'	-0.734	-0.399										'SLC25A23'	0.695	0.417	132	'VWA1'	0.58	6.84E-79	1.01E-75	782574	5090
			'ATP6V1G1'	-0.743	-0.517										'SUPT5H'	0.694	0.511	133	'CALY'	0.58	7.05E-79	1.04E-75	890587	5059
			'NDUFA1'	-0.747	-0.49										'ZDHHC3'	0.694	0.306	134	'MINK1'	0.58	7.82E-79	1.14E-75	1299011	4368
			'TSPYL1'	-0.748	-0.553										'TPBG'	0.694	0.18	135	'RPS13'	0.58	1.22E-78	1.76E-75	768293	5112
			'CALM2'	-0.874	-0.741										'MAP2K2'	0.693	0.534	136	'TBC1D17'	0.58	1.26E-78	1.81E-75	555736	4936
															'HNRNPUL1'	0.693	0.571	137	'SZRD1'	0.58	1.39E-78	1.99E-75	1099660	4774
															'PGLS'	0.693	0.471	138	'RNF187'	0.58	3.33E-78	4.72E-75	433940	5503
															'MBD6'	0.693	0.501	139	'PNPLA2'	0.58	1.68E-77	2.36E-74	1369439	4970
															'RPSA'	0.691	0.48	140	'PINK1'	0.58	1.69E-77	2.36E-74	726397	5062
															'NDUFA3'	0.691	0.614	141	'ERH'	0.58	2.67E-77	3.71E-74	886092	4930
															'ANKRD9'	0.691	0.33	142	'PTBP1'	0.57	4.79E-77	6.62E-74	743365	3156
															'DDR1'	0.69	0.383	143	'RPS12'	0.57	6.74E-77	9.19E-74	1120630	5214
															'RPS23'	0.69	0.556	144	'CARM1'	0.57	9.14E-77	1.24E-73	477079	4174
															'GIPC1'	0.69	0.488	145	'LRCH4'	0.57	9.96E-77	1.34E-73	1108238	5406
															'GAS6'	0.69	0.135	146	'ACTN4'	0.57	1.86E-76	2.49E-73	1104389	4911
															'LAMTOR1'	0.689	0.543	147	'ECI1'	0.57	2.00E-76	2.65E-73	935035	3332
															'SHISA5'	0.689	0.48	148	'CDK5R2'	0.57	2.44E-76	3.21E-73	652250	3983
															'ANXA11'	0.689	0.4	149	'LDOC1'	0.57	3.14E-76	4.11E-73	617383	5375
															'TP53I13'	0.689	0.544	150	'MYH14'	0.57	6.61E-76	8.60E-73	3355	1382
															'SRRM2'	0.688	0.537	151	'HCFC1R1'	0.57	8.06E-76	1.04E-72	231332	3121
															'RBPMS'	0.688	0.278	152	'HNRNPUL1'	0.57	1.02E-75	1.31E-72	387362	5236
															'FIS1'	0.687	0.57	153	'LOC440311'	0.57	1.78E-75	2.28E-72	697491	4713
															'CCDC24'	0.687	0.407	154	'FIS1'	0.57	1.84E-75	2.34E-72	636906	5564
															'ERGIC1'	0.687	0.424	155	'RPS20'	0.57	2.93E-75	3.70E-72	1054899	2767
															'TCIRG1'	0.687	0.323	156	'FLJ22184'	0.57	3.00E-75	3.76E-72	179914	4167
															'MMP14'	0.686	0.168	157	'G6PD'	0.57	3.72E-75	4.63E-72	738981	5229
															'RAB11FIP5'	0.686	0.373	158	'ANXA6'	0.57	6.00E-75	7.41E-72	823179	4915
															'RABEP2'	0.686	0.361	159	'TCEB2'	0.57	7.11E-75	8.74E-72	714534	5629
															'TINAGL1'	0.685	0.133	160	'ZSCAN18'	0.57	8.89E-75	1.09E-71	157475	3692
															'GGA1'	0.685	0.47	161	'C1orf122'	0.57	1.15E-74	1.40E-71	821866	2867
															'BRD4'	0.685	0.475	162	'LRP10'	0.57	1.37E-74	1.65E-71	157719	4292
															'HLA-H'	0.684	0.276	163	'ATXN2L'	0.57	1.71E-74	2.06E-71	1132928	4445
															'MOB2'	0.684	0.484	164	'KLC2'	0.57	2.10E-74	2.50E-71	633557	2591
															'GTF2IP1.uid_9260'	0.683	0.459	165	'JUP'	0.57	2.12E-74	2.50E-71	1436973	3520
															'CHPF2'	0.683	0.538	166	'PNRC1'	0.57	2.12E-74	2.50E-71	652087	4590
															'CLN6'	0.683	0.431	167	'IL17RC'	0.57	2.81E-74	3.29E-71	599554	2842
