Institution	Vaccine	Type	Phase
"BEIJING MINHAI BIOTECHNOLOGY CO., LTD."	INACTIVATED	Inactivated Virus	Pre-Clinical
SINOVAC/ DYNAVAX	INACTIVATED + ADJUVANT (CPG 1018)	Inactivated Virus	Pre-Clinical
SELCUK UNIVERSITY	INACTIVATED	Inactivated Virus	Pre-Clinical
VALNEVA/ DYNAVAX	"INACTIVATED (INACTIVATED + CPG 1018), VLA2001"	Inactivated Virus	Pre-Clinical
KM BIOLOGICS	INACTIVATED (INACTIVATED + ALUM)	Inactivated Virus	Pre-Clinical
OSAKA UNIVERSITY / BIKEN / NIBIOHN	INACTIVATED	Inactivated Virus	Pre-Clinical
"NATIONAL RESEARCH CENTRE, EGYPT"	INACTIVATED WHOLE VIRUS	Inactivated Virus	Pre-Clinical
DEVELOPER/ RESEARCHER	PRODUCT DESCRIPTION	Inactivated Virus	Pre-Clinical
INDIAN IMMUNOLOGICALS LTD/ GRIFFITH UNIVERSITY	CODON DEOPTIMIZED LIVE ATTENUATED VIRUS	Live Attenuated Virus	Pre-Clinical
MEISSA VACCINES 	MV-014-210	Live Attenuated Virus	Pre-Clinical
MEHMET ALI AYDINLAR UNIVERSITY/ ACIBADEM LABMED HEALTH SERVICES A.S.	CODON DEOPTIMIZED LIVE ATTENUATED VACCINES	Live Attenuated Virus	Pre-Clinical
CODAGENIX / SERUM INSTITUTE OF INDIA	CODON DEOPTIMIZED LIVE ATTENUATED VIRUS	Live Attenuated Virus	Pre-Clinical
DEVELOPER/ RESEARCHER	PRODUCT DESCRIPTION	Live Attenuated Virus	Pre-Clinical
JANSSEN PHARMACEUTICAL COMPANIES/ BETH ISRAEL DEACONESS MEDICAL CENTER/ EMERGENT BIOSOLUTIONS/ CATALENT/ BIOLOGICAL E/ GRAND RIVER ASEPTIC MANUFACTURING (GRAM)	"AD26.COV2-S, NON REPLICATING VIRAL VECTOR; AD26 (ALONE OR WITH MVA BOOST)"	Non-Replicating Viral Vector	Phase III
GAMALEYA RESEARCH INSTITUTE	"ADENO-BASED, GAM-COVID-VAC LYO (SPUTNIK V)"	Non-Replicating Viral Vector	Approved in Russia
"UNIVERSITY OF OXFORD, OXFORD BIOMEDICA, VACCINES MANUFACTURING AND INNOVATION CENTRE, PALL LIFE SCIENCES, COBRA BIOLOGICS, HALIXBV, ADVENT S.R.L., MERCK KGAA, THE SERUM INSTITUTE, VACCITECH, CATALENT, CSL, AND ASTRAZENECA/IQVIA"	NON-REPLICATING VIRAL VECTOR; AZD 1222 (FORMERLY CHADOX1)	Non-Replicating Viral Vector	Phase III
CANSINO BIOLOGICS/ BEIJING INSTITUTE OF BIOTECHNOLOGY/ PETROVAX	NON-REPLICATING VIRAL VECTOR; ADENOVIRUS TYPE 5 VECTOR (AD5-NCOV)	Non-Replicating Viral Vector	Phase III
IMMUNITYBIO/ NANTKWEST	"NON-REPLICATING VIRAL VECTOR; [E1-, E2B-, E3-] HAD5-COVID19-SPIKE/NUCLEOCAPSID"	Non-Replicating Viral Vector	Phase I
VAXART/ EMERGENT BIOSOLUTIONS	NON-REPLICATING VIRAL VECTOR; ORAL VACCINE PLATFORM	Non-Replicating Viral Vector	Phase I
REITHERA/ LEUKOCARE/ UNIVERCELLS/ NATIONAL INSTITUTE OF INFECTIOUS DISEASES LAZZARO SPALLANZANI	NON-REPLICATING VIRAL VECTOR; REPLICATION DEFECTIVE SIMIAN ADENOVIRUS ENCODING SARS-COV-2 S (GRAD-COV2)	Non-Replicating Viral Vector	Phase I
CITY OF HOPE MEDICAL CENTER	MVA-BASED SARS-COV-2 VACCINE; (COH04S1)	Non-Replicating Viral Vector	Pre-Clinical
"MASSACHUSETTS EYE AND EAR/ AVEXIS, A NOVARTIS COMPANY/ VIRALGEN/ ALDEVRON/ CATALENT/ PENN MEDICINE"	"AAVCOVID, ADENO-ASSOCIATED VIRAL VECTOR (AAV), SPIKE PROTEIN"	Non-Replicating Viral Vector	Pre-Clinical
BHARAT BIOTECH/ THOMAS JEFFERSON UNIVERSITY	RECOMBINANT DEACTIVATED RABIES VIRUS CONTAINING S1; (CORAVAX)	Non-Replicating Viral Vector	Pre-Clinical
"GLOBE BIOTECH LIMITED, BANGLADESH"	ADENOVIRUS TYPE 5 VECTOR	Non-Replicating Viral Vector	Pre-Clinical
UNIVERSITY OF HELSINKI/ UNIVERSITY OF EASTERN FINLAND	AD 5 VECTOR FOR INTRANASAL ADMINISTRATION	Non-Replicating Viral Vector	Pre-Clinical
"CANSINO BIOLOGICS/ INSTITUTE OF BIOTECHNOLOGY, ACADEMY OF MILITARY MEDICAL SCIENCES, PLA OF CHINA"	AD5-NCOV	Non-Replicating Viral Vector	Pre-Clinical
GERMAN CENTER FOR INFECTION RESEARCH (DZIF)/ IDT BIOLOGIKA GMBH/ UNIVERSITÄTSKLINIKUM HAMBURG-EPPENDORF/ PHILIPPS UNIVERSITY MARBURG MEDICAL CENTER/ LUDWIG-MAXIMILIANS UNIVERSITY OF MUNICH	NON-REPLICATING VIRAL VECTOR; MVA-S ENCODED	Non-Replicating Viral Vector	Pre-Clinical
STABILITECH BIOPHARMA LTD	ORAL AD5 S	Non-Replicating Viral Vector	Pre-Clinical
"NATIONAL CENTER FOR GENETIC ENGINEERING AND BIOTECHNOLOGY (BIOTEC)/ GPO, THAILAND"	INACTIVATED FLU-BASED SARS-COV2 VACCINE + ADJUVANT	Non-Replicating Viral Vector	Pre-Clinical
ANKARA UNIVERSITY	ADENOVIRUS-BASED	Non-Replicating Viral Vector	Pre-Clinical
GEOVAX / BRAVOVAX	NON-REPLICATING VIRAL VECTOR; MVA ENCODED VLP	Non-Replicating Viral Vector	Pre-Clinical
ALTIMMUNE / UNIVERSITY OF ALABAMA AT BIRMINGHAM	"ADCOVID; SINGLE-DOSE, INTRANASAL VACCINE; NON REPLICATING VIRAL VECTOR; ADENOVIRUS-BASED NASOVAX EXPRESSING SPIKE PROTEIN"	Non-Replicating Viral Vector	Pre-Clinical
VALO THERAPEUTICS LTD	ADENOVIRUS-BASED + HLA-MATCHED PEPTIDES (PAN-CORONA)	Non-Replicating Viral Vector	Pre-Clinical
INSTITUT PASTEUR/ THERAVECTYS	INTRANASAL LENTIVIRAL VECTOR VACCINE	Non-Replicating Viral Vector	Pre-Clinical
"IDIBAPS- HOSPITAL CLINIC, SPAIN"	MVA-S	Non-Replicating Viral Vector	Pre-Clinical
GREFFEX	NON-REPLICATING VIRAL VECTOR; AD5 S (GREVAX™ PLATFORM)	Non-Replicating Viral Vector	Pre-Clinical
"CENTRO NACIONAL BIOTECNOLOGIA (CNB-CSIC), SPAIN"	"NON-REPLICATING VIRAL VECTOR, MVA EXPRESSING STRUCTURAL PROTEINS"	Non-Replicating Viral Vector	Pre-Clinical
ID PHARMA	SENDAI VIRUS VECTOR	Non-Replicating Viral Vector	Pre-Clinical
"NATIONAL RESEARCH CENTRE, EGYPT"	INFLUENZA A H1N1 VECTOR	Non-Replicating Viral Vector	Pre-Clinical
UNIVERSITY OF GEORGIA/ UNIVERSITY OF IOWA	NON-REPLICATING VIRAL VECTOR; PARAINFLUENZA VIRUS 5 (PIV5)-BASED VACCINE EXPRESSING THE SPIKE PROTEIN	Non-Replicating Viral Vector	Pre-Clinical
ERCIYES UNIVERSITY	ADENO5-BASED	Non-Replicating Viral Vector	Pre-Clinical
NOVAVAX/EMERGENT BIOSOLUTIONS/ PRAHA VACCINES/ BIOFABRI/ FUJIFILM DIOSYNTH BIOTECHNOLOGIES/ FDB/ SERUM INSTITUTE OF INDIA/ SK BIOSCIENCE/ TAKEDA PHARMACEUTICAL COMPANY LIMITED/ AGC BIOLOGICS/ POLYPEPTIDE GROUP/ ENDO	PROTEIN SUBUNIT; FULL-LENGTH RECOMBINANT SARS COV-2 GLYCOPROTEIN NANOPARTICLE VACCINE ADJUVANTED WITH MATRIX M (NVX-COV2373)	Protein Subunit	Phase III
"ANHUI ZHIFEI LONGCOM BIOPHARMACEUTICAL/ INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES"	ADJUVANTED RECOMBINANT PROTEIN (RBD-DIMER)	Protein Subunit	Phase II
INSTITUTO FINLAY DE VACUNAS	RBD + ADJUVANT (FINLAY-FR-1)	Protein Subunit	Phase I
"FEDERAL BUDGETARY RESEARCH INSTITUTION (FBRI) STATE RESEARCH CENTER OF VIROLOGY AND BIOTECHNOLOGY ""VECTOR"""	"PEPTIDE VACCINE, EPIVACCORONA"	Protein Subunit	Approved in Russia
SANOFI PASTEUR/ GSK	"PROTEIN SUBUNIT; S PROTEIN, BACULOVIRUS PRODUCTION"	Protein Subunit	Phase I
CLOVER BIOPHARMACEUTICALS INC./ GSK/ DYNAVAX	"PROTEIN SUBUNIT, NATIVE LIKE TRIMERIC SUBUNIT SPIKE PROTEIN"	Protein Subunit	Phase I
COVAXX/ UNIVERSITY OF NEBRASKA MEDICAL CENTER (UNMC)/ DASA/ UNITED BIOMEDICAL INC. ASIA	S1-RBD-PROTEIN; MULTITOPE PEPTIDE-BASED VACCINE (MVP); UB-612	Protein Subunit	Phase I
MEDIGEN VACCINE BIOLOGICS CORP/ NIAID/ DYNAVAX	MVC-COV1901 VACCINE INJECTION; S-2 P PROTEIN + CPG 1018	Protein Subunit	Phase I
VAXINE PTY LTD/ FLINDERS UNIVERSITY/ ORACLE/ MEDYTOX/ SYPHARMA/ OXFORD EXPRESSION TECHNOLOGIES	PROTEIN SUBUNIT; RECOMBINANT SPIKE PROTEIN WITH ADVAX ADJUVANT (COVAX-19)	Protein Subunit	Phase I
UNIVERSITY OF QUEENSLAND/CSL/SEQIRUS	PROTEIN SUBUNIT; MOLECULAR CLAMP STABILIZED SPIKE PROTEIN WITH MF59 ADJUVANT	Protein Subunit	Terminated
"WEST CHINA HOSPITAL, SICHUAN UNIVERSITY"	RBD (BACULOVIRUS PRODUCTION EXPRESSED IN SF9 CELLS)	Protein Subunit	Phase I
ADIMMUNE CORPORATION	"BACULOVIRUS-INSECT CELLS EXPRESSION SYSTEM, SPIKE (S) PROTEIN (TADIMRSC-2F)"	Protein Subunit	Phase I
"MOGAM INSTITUTE FOR BIOMEDICAL RESEARCH, GC PHARMA"	PROTEIN SUBUNIT	Protein Subunit	Pre-Clinical
AXON NEUROSCIENCE SE	PEPTIDES DERIVED FROM SPIKE PROTEIN; (ACVAC1)	Protein Subunit	Pre-Clinical
"IMV, INC., CANADIAN CENTER FOR VACCINOLOGY AT DALHOUSIE UNIVERSITY, IZAAK WALTON KILLAM HEALTH CENTER, NOVA SCOTIA HEALTH AUTHORITY, CANADIAN IMMUNIZATION RESEARCH NETWORK, UNIVERSITY OF LAVAL, GLOBAL URGENT AND ADVANCED RESEARCH AND DEVELOPMENT IN CANADA"	"PROTEIN SUBUNIT; DPX-COVID-19, PROTEIN SUBUNIT, PEPTIDE ANTIGENS FORMULATED IN LNP"	Protein Subunit	Pre-Clinical
VABIOTECH	"PROTEIN SUBUNIT, RECOMBINANT S PROTEIN IN IC-BEVS"	Protein Subunit	Pre-Clinical
WRAIR / USAMRIID	PROTEIN SUBUNIT; S PROTEIN (SPFN)	Protein Subunit	Pre-Clinical
ADAPTVAC (PREVENT-NCOV CONSORTIUM)	"PROTEIN SUBUNIT, CAPSID-LIKE PARTICLE (CLP)"	Protein Subunit	Pre-Clinical
NEO7LOGIX	PEPTIDES	Protein Subunit	Pre-Clinical
INSTITUTO FINLAY DE VACUNAS	RRBD PRODUCED IN CHO-CELL CHEMICALLY CONJUGATE TO TETANUS TOXOID	Protein Subunit	Pre-Clinical
OHIO STATE UNIVERSITY/ KAZAKH NATIONAL AGRARIAN UNIVERSITY	RBD PROTEIN DELIVERED IN MANNOSE-CONJUGATED CHITOSAN NANOPARTICLE	Protein Subunit	Pre-Clinical
TAMPERE UNIVERSITY	RECOMBINANT S PROTEIN PRODUCED IN BEVS	Protein Subunit	Pre-Clinical
"KAZAKH NATIONAL AGRARIAN UNIVERSITY, KAZAKHSTAN/ NATIONAL SCIENTIFIC CENTER FOR ESPECIALLY DANGEROUS INFECTIONS"	RECOMBINANT SPIKE PROTEIN WITH ESSAI O/W 1849101 ADJUVANT	Protein Subunit	Pre-Clinical
KAZAKH NATIONAL AGRARIAN UNIVERSITY	RECOMBINANT SPIKE PROTEIN WITH ESSAI O/W 1849101 ADJUVANT	Protein Subunit	Pre-Clinical
MAX-PLANCK INSTITUTE OF COLLOIDS AND INTERFACES	RECOMBINANT S PROTEIN	Protein Subunit	Pre-Clinical
KENTUCKY BIOPROCESSING (BRITISH AMERICAN TOBACCO)	"RBD-BASED, (KBP-COVID-19)"	Protein Subunit	Pre-Clinical
UNIVERSITY HOSPITAL TUEBINGEN	SARS-COV-2 HLA-DR PEPTIDES	Protein Subunit	Pre-Clinical
ANYGO TECHNOLOGY	"PROTEIN SUBUNIT, RECOMBINANT S1-FC FUSION PROTEIN"	Protein Subunit	Pre-Clinical
IZMIR BIOMEDICINE AND GENOME CENTER	RECOMBINANT S PROTEIN	Protein Subunit	Pre-Clinical
IBIO / CC-PHARMING	"PROTEIN SUBUNIT; SUBUNIT PROTEIN, PLANT PRODUCED"	Protein Subunit	Pre-Clinical
BIOMVIS SRL/ UNIVERSITY OF TRENTO	OMV-BASED VACCINE	Protein Subunit	Pre-Clinical
HEAT BIOLOGICS (ZOLOVAX)/ UNIVERSITY OF MIAMI/ WAISMAN BIOMANUFACTURING	PROTEIN SUBUNIT (GP-96 BACKBONE)	Protein Subunit	Pre-Clinical
"LAKEPHARMA, INC."	"PROTEIN SUBUNIT, NANOPARTICLE VACCINE"	Protein Subunit	Pre-Clinical
ST. PETERSBURG SCIENTIFIC RESEARCH INSTITUTE OF VACCINES AND SERUMS	"PROTEIN SUBUNIT, RECOMBINANT PROTEIN, NANOPARTICLES (BASED ON S-PROTEIN AND OTHER EPITOPES)"	Protein Subunit	Pre-Clinical
BAIYA PHYTOPHARM/ CHULA VACCINE RESEARCH CENTER	PLANT-BASED SUBUNIT (RBD-FC + ADJUVANT)	Protein Subunit	Pre-Clinical
IMMUNOPRECISE/ LITEVAX BV	SPIKE-BASED (EPITOPE SCREENING)	Protein Subunit	Pre-Clinical
LOMONOSOV MOSCOW STATE UNIVERSITY	STRUCTURALLY MODIFIED SPHERICAL PARTICLES OF THE TOBACCO MOSAIC VIRUS (TMV)	Protein Subunit	Pre-Clinical
"NATIONAL RESEARCH CENTRE, EGYPT"	"PROTEIN SUBUNIT S, N, M & S1 PROTEIN"	Protein Subunit	Pre-Clinical
EPIVAX / UNIVERSITY OF GEORGIA	PROTEIN SUBUNIT; S PROTEIN	Protein Subunit	Pre-Clinical
INTRAVACC/EPIVAX	OUTER MEMBRANE VESICLE (OMV)-SUBUNIT	Protein Subunit	Pre-Clinical
	PROTEIN SUBUNIT	Protein Subunit	Pre-Clinical
	PROTEIN SUBUNIT; S1 OR RBD PROTEIN	Protein Subunit	Pre-Clinical
"RESEARCH INSTITUTE FOR BIOLOGICAL SAFETY PROBLEMS, REP OF KAZAKHSTAN"	PROTEIN SUBUNIT; SPIKE BASED	Protein Subunit	Pre-Clinical
BAYLOR COLLEGE OF MEDICINE	CIVAX™ COVID-19 VACCINE CANDIDATE; SPIKE PROTEIN + NOVEL ADJUVANT	Protein Subunit	Pre-Clinical
UNIVERSITY OF ALBERTA	OUTER MEMBRANE VESICLE (OMV)-PEPTIDE	Protein Subunit	Pre-Clinical
SOLIGENIX/ UNIVERSITY OF HAWAII AT M?NOA	RBD-BASED	Protein Subunit	Pre-Clinical
INTRAVACC/EPIVAX	PROTEIN SUBUNIT; PLANT VIRUS NANOTECHNOLOGY FORMULATED AS INJECTABLE AND MICRONEEDLE PATCH	Protein Subunit	Pre-Clinical
NEOVII/TEL AVIV UNIVERSITY	RBD-BASED	Protein Subunit	Pre-Clinical
"UNIVERSITY OF CALIFORNIA, SAN DIEGO"	PROTEIN SUBUNIT; PLANT VIRUS NANOTECHNOLOGY FORMULATED AS INJECTABLE AND MICRONEEDLE PATCH	Protein Subunit	Pre-Clinical
"NATIONAL INSTITUTE OF INFECTIOUS DISEASE, JAPAN"	"PROTEIN SUBUNIT, S PROTEIN + ADJUVANT"	Protein Subunit	Pre-Clinical
"OSAKA UNIVERSITY / BIKEN / NATIONAL INSTITUTES OF BIOMEDICAL INNOVATION, JAPAN"	"PROTEIN SUBUNIT, VLP-RECOMBINANT PROTEIN + ADJUVANT"	Protein Subunit	Pre-Clinical
INNOMEDICA	"PROTEIN SUBUNIT, TALICOVAX19"	Protein Subunit	Pre-Clinical
FARMACOLÓGICOS VETERINARIOS SAC (FARVET SAC) / UNIVERSIDAD PERUANA CAYETANO HEREDIA (UPCH)	RBD PROTEIN (BACULOVIRUS PRODUCTION) + FAR-SQUALENE ADJUVANT	Protein Subunit	Pre-Clinical
"HELIX BIOGEN CONSULT, OGBOMOSO & TRINITY IMMONOEFFICIENT LABORATORY, OGBOMOSO, OYO STATE, NIGERIA"	SUBUNIT	Protein Subunit	Pre-Clinical
UNIVERSITY OF PITTSBURGH	"PITTCOVACC, PROTEIN SUBUNIT, MICRONEEDLE ARRAYS S1 SUBUNIT"	Protein Subunit	Pre-Clinical
ONCOGEN	"PROTEIN SUBUNIT, SYNTHETIC LONG PEPTIDE VACCINE CANDIDATE FOR S AND M PROTEINS"	Protein Subunit	Pre-Clinical
INNOVAX / XIAMEN UNIVERSITY / GSK	PROTEIN SUBUNIT; COVID-19 XWG-03 TRUNCATED SPIKE PROTEINS	Protein Subunit	Pre-Clinical
BIOLOGICAL E LTD	PROTEIN SUBUNIT; ADJUVANTED PROTEIN SUBUNIT (RBD)	Protein Subunit	Pre-Clinical
"APPLIED BIOTECHNOLOGY INSTITUTE, INC."	"ORALLY DELIVERED, HEAT STABLE SUBUNIT"	Protein Subunit	Pre-Clinical
MIGAL GALILEE RESEARCH INSTITUTE	PROTEIN SUBUNIT; ORAL E. COLI-BASED PROTEIN EXPRESSION SYSTEM OF S AND N PROTEINS	Protein Subunit	Pre-Clinical
UNIVERSITY OF VIRGINIA	S SUBUNIT INTRANASAL LIPOSOMAL FORMULATION WITH GLA/3M052 ADJS.	Protein Subunit	Pre-Clinical
"UNIVERSITY OF SAN MARTIN AND CONICET, ARGENTINA"	PROTEIN SUBUNIT	Protein Subunit	Pre-Clinical
PDS BIOTECHNOLOGY	PDS-0203; VERSAMUNE T-CELL ACTIVATING TECHNOLOGY	Protein Subunit	Pre-Clinical
"VIDO-INTERVAC, UNIVERSITY OF SASKATCHEWAN"	"PROTEIN SUBUNIT, ADJUVANTED MICROSPHERE PEPTIDE"	Protein Subunit	Pre-Clinical
QUADRAM INSTITUTE BIOSCIENCES	OMV-BASED VACCINE	Protein Subunit	Pre-Clinical
EXPRES2ION	"PROTEIN SUBUNIT, DROSOPHILA S2 INSECT CELL EXPRESSION SYSTEM VLPS"	Protein Subunit	Pre-Clinical
"FEDERAL BUDGETARY RESEARCH INSTITUTION (FBRI) STATE RESEARCH CENTER OF VIROLOGY AND BIOTECHNOLOGY ""VECTOR"""	SUBUNIT VACCINE	Protein Subunit	Pre-Clinical
GENEREX / EPIVAX	PROTEIN SUBUNIT; II-KEY PEPTIDE	Protein Subunit	Pre-Clinical
UMN PHARMA (SHIONOGI)	"PROTEIN SUBUNIT; RECOMBINANT PROTEIN VACCINE, UTILIZING BACULOVIRUS EXPRESSION VECTOR SYSTEM TECHNOLOGY"	Protein Subunit	Pre-Clinical
EPIVAX	PROTEIN SUBUNIT EPV-COV-19	Protein Subunit	Pre-Clinical
SORRENTO THERAPEUTICS	RECOMBINANT FUSION PROTEIN OF THE SARS-COV-2 SPIKE PROTEIN S1 DOMAIN AND HUMAN IGG FC (T-VIVA-19)	Protein Subunit	Pre-Clinical
BOGAZICI UNIVERSITY	PEPTIDE + NOVEL ADJUVANT	Protein Subunit	Pre-Clinical
AJ VACCINES	PROTEIN SUBUNIT; S PROTEIN	Protein Subunit	Pre-Clinical
FLOW PHARMA	"PROTEIN SUBUNIT, PEPTIDE"	Protein Subunit	Pre-Clinical
MYNVAX	RBD-PROTEIN	Protein Subunit	Pre-Clinical
"VERNDARI/ UNIVERSITY OF CALIFORNIA, DAVIS"	SPIKE PROTEIN; VAXIPATCH MICRONEEDLE ARRAY DERMAL PATCH	Protein Subunit	Pre-Clinical
"CHULALONGKORN UNIVERSITY/ GPO, THAILAND"	RBD PROTEIN FUSED WITH FC OF IGG + ADJUVANT	Protein Subunit	Pre-Clinical
YISHENG BIOPHARMA	"PROTEIN SUBUNIT, RECOMBINANT PROTEIN"	Protein Subunit	Pre-Clinical
VAXIL BIO	PROTEIN SUBUNIT; PEPTIDE	Protein Subunit	Pre-Clinical
		Replicating Viral Vector	Phase I
INSTITUT PASTEUR/ THEMIS/ UNIVERSITY OF PITTSBURGH CVR/ MERCK SHARP & DOHME	REPLICATING VIRAL VECTOR; MEASLES VECTOR (V591); FORMERLY (TMV-083)	Replicating Viral Vector	Pre-Clinical
UNIVERSITY OF MANITOBA	REPLICATING VSV VECTOR-BASED DC-TARGETING	Replicating Viral Vector	Pre-Clinical
FARMACOLÓGICOS VETERINARIOS SAC (FARVET SAC)/ UNIVERSIDAD PERUANA CAYETANO HEREDIA (UPCH)	INTRANASAL NEWCASTLE DISEASE VIRUS VECTOR (RNDV-FARVET) EXPRESSING RBD	Replicating Viral Vector	Pre-Clinical
ISRAEL INSTITUTE FOR BIOLOGICAL RESEARCH/ WEIZMANN INSTITUTE OF SCIENCE	VSV-S	Replicating Viral Vector	Pre-Clinical
