geneIDs	a_cells	a_donor	geneIDs	b_cells	b_donor	geneIDs	g_cells	g_donor	geneIDs	d_cells	d_donor	geneIDs	acinar_cell	acinar_donor	geneIDs	ductal_cell	ductal_donor	all cells	all_donors
'RPL3'	0.673	0.512	'FBXO2'	0.662	0.497							'VEGFB'	0.609	0.371	'SNRNP70'	0.758	0.665	0.673	0.512
'UBA52'	0.672	0.593	'TCEA2'	0.66	0.538							'DNAJB2'	0.609	0.44	'ATF6B'	0.757	0.396	0.672	0.593
'RPL31'	0.67	0.467	'TSR3'	0.658	0.588							'LINC01278'	0.607	0.399	'LAMP1'	0.757	0.51	0.67	0.467
'NUCB1'	0.668	0.587	'KCNQ2'	0.657	0.276							'BOK'	0.605	0.521	'CDC42EP5'	0.757	0.214	0.668	0.587
'RPL14'	0.666	0.589	'CDK5R2'	0.655	0.573							'WIZ'	0.604	0.323	'HES4'	0.755	0.242	0.666	0.589
'RPL23'	0.666	0.517	'MAPRE3'	0.655	0.593							'HPN'	0.604	0.352	'C17orf70'	0.754	0.415	0.666	0.517
'CDK5R2'	0.666	0.573	'SLC25A29'	0.653	0.563							'SRSF9'	0.602	0.443	'JUP'	0.754	0.566	0.666	0.573
'C1orf122'	0.664	0.567	'SPPL3'	0.65	0.422							'CDK18'	0.601	0.371	'GPC1'	0.754	0.32	0.664	0.567
'FIS1'	0.661	0.57	'LDOC1'	0.65	0.572							'DYNLL1'	-0.605	0.045	'ITM2C'	0.754	0.368	0.661	0.57
'FAU'	0.66	0.587	'CMTM8'	0.649	0.415							'RBP4'	-0.614	-0.291	'GAA'	0.752	0.658	0.66	0.587
'CLDN7'	0.655	0.594	'TMEM129'	0.648	0.553							'ARF4'	-0.618	-0.275	'RPS12'	0.751	0.574	0.655	0.594
'PTPRN'	0.654	0.515	'BOD1'	0.647	0.423							'ENPP2'	-0.628	-0.321	'TRIP6'	0.751	0.129	0.654	0.515
'CARM1'	0.653	0.574	'RGS11'	0.646	0.428							'PSMD10'	-0.633	-0.119	'RPL11'	0.746	0.657	0.653	0.574
'MGAT4B'	0.653	0.581	'POLR2A'	0.643	0.518							'ATP5O'	-0.65	-0.137	'QSOX1'	0.746	0.412	0.653	0.581
'RPS3'	0.653	0.552	'ACTN4'	0.641	0.573							'TM4SF4'	-0.741	-0.188	'CHCHD10'	0.745	0.631	0.653	0.552
'PTMS'	0.653	0.587	'B3GNT9'	0.639	0.536										'TRABD'	0.744	0.476	0.653	0.587
'RPS20'	0.65	0.569	'DNAJB2'	0.639	0.44										'NDUFA11'	0.744	0.672	0.65	0.569
'SLC29A4'	0.642	0.521	'SREBF1'	0.638	0.505										'G6PD'	0.743	0.569	0.642	0.521
'HSPB1'	0.639	0.461	'RBCK1'	0.636	0.482										'ARSA'	0.742	0.63	0.639	0.461
'GUK1'	0.638	0.543	'TMEM132A'	0.636	0.37										'TMEM259'	0.74	0.617	0.638	0.543
'ANXA6'	0.632	0.568	'MAFA'	0.635	0.118										'HLA-C'	0.74	0.411	0.632	0.568
'RPS24'	0.632	0.524	'TMEM59L'	0.633	0.465										'SDF4'	0.739	0.613	0.632	0.524
'TCEB2'	0.63	0.568	'LRP10'	0.631	0.567										'PAK4'	0.739	0.618	0.63	0.568
"NME2,uid_22041'"	0.63	0.555	'NFIC'	0.63	0.504										'ZNF580'	0.738	0.639	0.63	0.555
'MAFB'	0.628	0.448	'CORO1B'	0.629	0.545										'CDIPT'	0.738	0.469	0.628	0.448
'SEZ6L2'	0.628	0.518	'OLFM2'	0.625	0.306										'MMP24-AS1'	0.737	0.646	0.628	0.518
'RPL24'	0.623	0.521	'RPS27'	0.623	0.5										'EPS8L2'	0.737	0.469	0.623	0.521
'SRRM2'	0.622	0.537	'PCBP1'	0.623	0.487										'CLDN7'	0.737	0.594	0.622	0.537
'LTBP3'	0.621	0.537	'CXXC5'	0.623	0.434										'GRINA'	0.734	0.626	0.621	0.537
'APLP1'	0.62	0.428	'THAP11'	0.622	0.416										'TSR3'	0.733	0.588	0.62	0.428
'FASN'	0.619	0.548	'FLYWCH1'	0.621	0.399										'ZSCAN18'	0.733	0.568	0.619	0.548
'RPS7'	0.617	0.536	'PHF1'	0.619	0.445										'MRPL23'	0.733	0.623	0.617	0.536
'SEPT9'	0.615	0.504	'STMN3'	0.618	0.44										'PTGES2'	0.732	0.54	0.615	0.504
'COMTD1'	0.614	0.536	'MLXIPL'	0.617	0.412										'SMARCD3'	0.731	0.434	0.614	0.536
'RABAC1'	0.61	0.551	'ACAP3'	0.616	0.559										'TNIP1'	0.73	0.481	0.61	0.551
'VWA7'	0.608	0.522	'DYRK1B'	0.615	0.483										'RPS15A'	0.728	0.637	0.608	0.522
'DRAP1'	0.608	0.553	'DVL3'	0.615	0.535										'TMEM54'	0.727	0.587	0.608	0.553
'SLC5A1'	0.604	0.449	'SYN1'	0.614	0.501										'AGRN'	0.727	0.305	0.604	0.449
'RPL29'	0.602	0.506	'JUND'	0.613	0.46										'FAM134C'	0.726	0.413	0.602	0.506
'VSTM2L'	0.601	0.467	'EMC10'	0.613	0.461										'NENF'	0.725	0.649	0.601	0.467
'TM4SF4'	-0.604	-0.188	'PIM3'	0.612	0.502										'PTOV1'	0.725	0.597	-0.604	-0.188
'B2M'	-0.626	-0.399	'PRKACA'	0.612	0.487										'TLN1'	0.724	0.563	-0.626	-0.399
'SCG5'	-0.677	-0.346	'FAM58A'	0.611	0.46										'WFDC2'	0.723	0.209	-0.677	-0.346
			'PELI3'	0.609	0.418										'RPL7A'	0.721	0.64	0.858	0.644
			'ARFGAP1'	0.608	0.456										'RPS20'	0.721	0.569	0.796	0.662
			'CLTB'	0.608	0.551										'PLEC'	0.72	0.624	0.76	0.547
			'APP'	0.607	0.516										'MZT2A'	0.719	0.618	0.738	0.185
			'TESK1'	0.607	0.523										'DIRC2'	0.718	0.245	0.737	0.568
			'ECE1'	0.605	0.467										'ATPAF1'	0.717	0.37	0.733	0.617
			'PHLDB3'	0.605	0.538										'AP2A1'	0.716	0.638	0.733	0.613
			'LOC100130093'	0.605	0.386										'HDGFRP2'	0.716	0.559	0.73	0.451
			'NAT14'	0.603	0.545										'VWA1'	0.715	0.581	0.729	0.649
			'BAIAP2'	0.603	0.497										'CLUH'	0.714	0.351	0.729	0.626
			'ABCA3'	0.602	0.477										'PNPLA6'	0.713	0.526	0.728	0.45
			'FAM89B'	0.602	0.461										'DNTTIP1'	0.713	0.334	0.727	0.649
			'PLEKHH3'	0.602	0.481										'ANP32A'	0.713	0.457	0.718	0.63
			'MNT'	0.6	0.429										'TSPAN17'	0.713	0.498	0.717	0.61
			'G6PC2'	-0.6	-0.146										'CSNK1G2'	0.713	0.458	0.716	0.487
			'PFKFB2'	-0.6	0.077										'SLC38A10'	0.712	0.546	0.715	0.527
			'PAIP2'	-0.6	-0.318										'NCOR2'	0.712	0.625	0.715	0.624
			'YWHAE'	-0.601	-0.398										'UBA52'	0.712	0.593	0.712	0.519
			'HSP90AB1'	-0.601	-0.417										'SLC35C1'	0.709	0.385	0.711	0.419
			'SCG5'	-0.606	-0.346										'CST3'	0.709	0.63	0.709	0.563
			'PFN2'	-0.606	-0.115										'WBP2'	0.708	0.55	0.7	0.382
			'ASAH1'	-0.607	-0.389										'RPS19'	0.708	0.521	0.697	0.529
			'COX7A2'	-0.608	-0.128										'C1QTNF5+MFRP'	0.707	0.145	0.696	0.587
			'C14orf2'	-0.627	-0.26										'TRAPPC5'	0.707	0.496	0.696	0.615
			'DDX5'	-0.63	-0.556										'PVRL2'	0.707	0.492	0.696	0.553
			'RIN2'	-0.63	-0.364										'STARD10'	0.706	0.471	0.694	0.547
			'PPY'	-0.633	-0.56										'ANAPC2'	0.706	0.476	0.69	0.559
			'ALDH1A1'	-0.637	-0.242										'HLA-B'	0.705	0.374	0.689	0.592
			'SCG3'	-0.642	-0.202										'GPAA1'	0.705	0.585	0.689	0.583
			'PPP1CB'	-0.644	-0.524										'CPTP'	0.705	0.363	0.689	0.625
			'H2AFZ'	-0.65	-0.445										'YBX3'	0.705	0.061	0.687	0.559
			'SET'	-0.658	-0.575										'GSTP1'	0.704	0.168	0.686	0.515
			'CNBP'	-0.659	-0.432										'TMEM51'	0.704	0.353	0.686	0.488
			'MARCH6'	-0.661	-0.459										'CBX6'	0.702	0.592	0.685	0.571
			'LAPTM4A'	-0.664	-0.438										'PNPLA2'	0.702	0.576	0.683	0.51
			'PDIA3'	-0.665	-0.442										'MZT2B'	0.701	0.627	0.681	0.428
			'PCP4'	-0.665	-0.258										'TCEA2'	0.701	0.538	0.679	0.458
			'PRDX3'	-0.669	-0.474										'VAT1'	0.699	0.559	0.673	0.569
			'YWHAQ'	-0.686	-0.383										'EDF1'	0.698	0.608	0.666	0.566
			'PDIA3P1'	-0.694	-0.451										'LRCH4'	0.698	0.574	0.665	0.156
			'ENPP2'	-0.704	-0.321										'PPP2R4'	0.698	0.51	0.664	0.527
			'SRP9'	-0.708	-0.605										'SLC39A3'	0.698	0.518	0.664	0.576
			'SERINC1'	-0.714	-0.443										'PLD3'	0.697	0.593	0.662	0.497
			'TMEM59'	-0.723	-0.479										'RNPEPL1'	0.697	0.43	0.66	0.538
			'UBE2D3'	-0.728	-0.371										'FAU'	0.697	0.587	0.658	0.588
			'H3F3B'	-0.732	-0.536										'UBE2Z'	0.696	0.502	0.657	0.276
			'B2M'	-0.734	-0.399										'SLC25A23'	0.695	0.417	0.655	0.573
			'ATP6V1G1'	-0.743	-0.517										'SUPT5H'	0.694	0.511	0.655	0.593
			'NDUFA1'	-0.747	-0.49										'ZDHHC3'	0.694	0.306	0.653	0.563
			'TSPYL1'	-0.748	-0.553										'TPBG'	0.694	0.18	0.65	0.422
			'CALM2'	-0.874	-0.741										'MAP2K2'	0.693	0.534	0.65	0.572
															'HNRNPUL1'	0.693	0.571	0.649	0.415
															'PGLS'	0.693	0.471	0.648	0.553
															'MBD6'	0.693	0.501	0.647	0.423
															'RPSA'	0.691	0.48	0.646	0.428
															'NDUFA3'	0.691	0.614	0.643	0.518
															'ANKRD9'	0.691	0.33	0.641	0.573
															'DDR1'	0.69	0.383	0.639	0.536
															'RPS23'	0.69	0.556	0.639	0.44
															'GIPC1'	0.69	0.488	0.638	0.505
															'GAS6'	0.69	0.135	0.636	0.482
															'LAMTOR1'	0.689	0.543	0.636	0.37
															'SHISA5'	0.689	0.48	0.635	0.118
															'ANXA11'	0.689	0.4	0.633	0.465
															'TP53I13'	0.689	0.544	0.631	0.567
															'SRRM2'	0.688	0.537	0.63	0.504
															'RBPMS'	0.688	0.278	0.629	0.545
															'FIS1'	0.687	0.57	0.625	0.306
															'CCDC24'	0.687	0.407	0.623	0.5
															'ERGIC1'	0.687	0.424	0.623	0.487
															'TCIRG1'	0.687	0.323	0.623	0.434
															'MMP14'	0.686	0.168	0.622	0.416
															'RAB11FIP5'	0.686	0.373	0.621	0.399
															'RABEP2'	0.686	0.361	0.619	0.445
															'TINAGL1'	0.685	0.133	0.618	0.44
															'GGA1'	0.685	0.47	0.617	0.412
															'BRD4'	0.685	0.475	0.616	0.559
															'HLA-H'	0.684	0.276	0.615	0.483
															'MOB2'	0.684	0.484	0.615	0.535
															'GTF2IP1.uid_9260'	0.683	0.459	0.614	0.501
															'CHPF2'	0.683	0.538	0.613	0.46
															'CLN6'	0.683	0.431	0.613	0.461
															'PINK1'	0.683	0.576	0.612	0.502
															'NAA60'	0.682	0.528	0.612	0.487
															'PPP1R13L'	0.682	0.389	0.611	0.46
															'ANKRD52'	0.681	0.449	0.609	0.418
															'TSPO'	0.681	0.124	0.608	0.456
															'CLTB'	0.68	0.551	0.608	0.551
															'NOXA1'	0.68	0.371	0.607	0.516
															'TMEM132A'	0.679	0.37	0.607	0.523
															'RPL3'	0.678	0.512	0.605	0.467
															'CARD10'	0.677	0.25	0.605	0.538
															'PDAP1'	0.677	0.603	0.605	0.386
															'NPDC1'	0.676	0.613	0.603	0.545
															'TMEM175'	0.676	0.536	0.603	0.497
															'DNM2'	0.676	0.524	0.602	0.477
															'ECI1'	0.676	0.573	0.602	0.461
															'ARRDC1'	0.675	0.452	0.602	0.481
															'TBC1D17'	0.675	0.58	0.6	0.429
															'UCKL1'	0.674	0.45	-0.6	-0.146
															'MPG'	0.674	0.47	-0.6	0.077
															'SCAP'	0.674	0.422	-0.6	-0.318
															'FRMD8'	0.673	0.36	-0.601	-0.398
															'AP2S1'	0.673	0.497	-0.601	-0.417
															'TPCN1'	0.672	0.461	-0.606	-0.346
															'PCBP1'	0.672	0.487	-0.606	-0.115
															'LEMD2'	0.672	0.588	-0.607	-0.389
															'SLC9A1'	0.671	0.323	-0.608	-0.128
															'RPL23'	0.671	0.517	-0.627	-0.26
															'NME2.uid_22041'	0.671	0.555	-0.63	-0.556
															'GPR137'	0.67	0.539	-0.63	-0.364
															'TAX1BP3'	0.67	0.347	-0.633	-0.56
															'BAZ2A'	0.67	0.49	-0.637	-0.242
															'DAPK3'	0.669	0.516	-0.642	-0.202
															'DAP'	0.669	0.474	-0.644	-0.524
															'PSKH1'	0.669	0.494	-0.65	-0.445
															'MESP1'	0.669	0.394	-0.658	-0.575
															'FBXL6'	0.669	0.341	-0.659	-0.432
															'ADAM15'	0.669	0.404	-0.661	-0.459
															'PPP4C'	0.669	0.483	-0.664	-0.438
															'GPR56'	0.668	0.519	-0.665	-0.442
															'C17orf62'	0.668	0.406	-0.665	-0.258
															'RRBP1'	0.668	0.373	-0.669	-0.474
															'SELO'	0.667	0.455	-0.686	-0.383
															'EMC10'	0.667	0.461	-0.694	-0.451
															'DAZAP1'	0.667	0.461	-0.704	-0.321
															'ZNF358'	0.667	0.547	-0.708	-0.605
															'NPRL3'	0.667	0.466	-0.714	-0.443
															'SLC43A2'	0.667	0.429	-0.723	-0.479
															'LRRC59'	0.667	0.347	-0.728	-0.371
															'ATP1A1'	0.666	0.346	-0.732	-0.536
															'LSR'	0.666	0.503	-0.734	-0.399
															'CDK12'	0.665	0.391	-0.743	-0.517
															'DBNDD1'	0.664	0.456	-0.747	-0.49
															'TMEM203'	0.663	0.492	-0.748	-0.553
															'FAM150B'	0.663	0.2	-0.874	-0.741
															'SF3A1'	0.662	0.342	0.81	0.723
															'EVC'	0.662	0.175	0.761	0.657
															'CANT1'	0.662	0.352	0.722	0.613
															'SLC25A1'	0.662	0.541	0.717	0.644
															'FAM129B'	0.661	0.311	0.655	0.321
															'PHLDB1'	0.661	0.238	0.655	0.363
															'TMEM129'	0.66	0.553	0.634	0.184
															'USP20'	0.659	0.428	0.627	0.361
															'IER3'	0.659	0.429	0.614	0.389
															'KCNQ1'	0.659	0.11	0.61	0.306
															'CLCN7'	0.659	0.536	-0.64	-0.556
															'DYNLRB1'	0.658	0.463	-0.654	-0.346
															'DPP3'	0.658	0.436	-0.656	0
															'ZDHHC8'	0.657	0.493	-0.705	-0.047
															'RPS5'	0.657	0.582	0.751	0.644
															'CADM4'	0.657	0.381	0.723	0.587
															'ESRRA'	0.656	0.382	0.715	0.573
															'ATP5G2'	0.656	0.494	0.706	0.626
															'MAGEF1'	0.655	0.376	0.701	0.629
															'ENDOG'	0.654	0.498	0.687	0.58
															'MYO1D'	0.654	0.399	0.659	0.552
															'PNRC1'	0.654	0.566	0.653	0.557
															'UNC93B1'	0.654	0.416	0.645	-0.227
															'SHISA4'	0.654	0.403	0.638	0.578
															'DVL3'	0.653	0.535	0.637	0.535
															'PIK3R2'	0.653	0.561	0.637	0.576
															'IGFBP7'	0.653	0.352	0.617	0.467
															'LY6E'	0.653	0.385	0.613	0.418
															'TMC6'	0.652	0.129	0.606	0.446
															'CDC34'	0.652	0.539	0.606	0.156
															'B3GAT3'	0.652	0.549	0.606	0.515
															'NSMF'	0.652	0.563	0.603	0.516
															'BAX'	0.652	0.472	0.601	0.432
															'NADK'	0.651	0.458	-0.606	-0.289
															'PKN1'	0.651	0.473	-0.607	-0.274
															'SLC25A10'	0.651	0.432	-0.613	-0.321
															'RPL10'	0.65	0.501	-0.62	-0.524
															'RNF126'	0.65	0.586	-0.624	-0.378
															'RPL12'	0.65	0.588	-0.634	-0.463
															'P4HTM'	0.65	0.444	-0.641	-0.56
															'PLXNA1'	0.649	0.307	-0.651	-0.49
															'NME3'	0.649	0.537	-0.679	-0.536
															'BCL2L1'	0.649	0.456	-0.68	-0.575
															'HS1BP3'	0.648	0.532	-0.698	-0.553
															'AP2A2'	0.648	0.464	-0.703	-0.311
															'ORAI3'	0.647	0.467	-0.706	-0.258
															'OGFR'	0.647	0.439	-0.717	-0.605
															'POLR2A'	0.646	0.518	0.776	0.64
															'MBD1'	0.646	0.292	0.775	0.683
															'URM1'	0.645	0.516	0.766	0.46
															'POMT1'	0.645	0.408	0.715	0.559
															'SZRD1'	0.645	0.58	0.702	0.439
															'TRIOBP'	0.645	0.259	0.694	0.527
															'DUSP28'	0.645	0.405	0.686	0.417
															'RPS28'	0.644	0.486	0.68	0.368
															'BLOC1S4'	0.644	0.317	0.675	0.574
															'SH3GL1'	0.643	0.441	0.674	0.381
															'CRAT'	0.643	0.467	0.674	0.417
															'CTXN1'	0.643	0.248	0.67	0.542
															'ATN1'	0.643	0.502	0.669	0.393
															'APP'	0.642	0.516	0.668	0.296
															'MAZ'	0.642	0.581	0.665	0.304
															'TBC1D10A'	0.642	0.401	0.662	0.144
															'FOXA2'	0.641	0.361	0.661	0.316
															'SLC52A2'	0.641	0.455	0.652	0.58
															'FLNA'	0.64	0.112	0.65	0.461
															'RNPEP'	0.64	0.381	0.645	0.534
															'DOT1L'	0.64	0.434	0.644	0.458
															'FAM160A2'	0.64	0.431	0.644	0.51
															'KAT8'	0.639	0.4	0.643	0.537
															'LTBP3'	0.639	0.537	0.639	0.36
															'ZNF800'	0.638	0.454	0.637	0.533
															'TTYH3'	0.637	0.264	0.636	0.481
															'TXNL4A'	0.637	0.507	0.633	0.19
															'MOV10'	0.636	0.386	0.632	0.19
															'TMEM184B'	0.636	0.499	0.631	0.315
															'GGT7'	0.635	0.409	0.63	0.484
															'MIDN'	0.634	0.483	0.63	0.327
															'TRIM28'	0.634	0.362	0.627	0.41
															'ATP6V0A1'	0.634	0.472	0.626	0.236
															'GSDMD'	0.634	0.37	0.617	0.464
															'EPHX1'	0.634	0.439	0.617	0.516
															'MBOAT7'	0.634	0.476	0.617	0.487
															'NCLN'	0.633	0.498	0.614	0.33
															'LZTS2'	0.633	0.352	0.613	0.169
															'KDM5C'	0.632	0.468	0.613	0.449
															'FAM195A'	0.632	0.526	0.612	0.203
															'MECP2'	0.632	0.364	0.612	0.289
															'PRKCD'	0.632	0.199	0.61	0.269
															'TFE3'	0.632	0.409	0.609	0.371
															'TRPC4AP'	0.631	0.409	0.609	0.44
															'DIP2C'	0.631	0.345	0.607	0.399
															'TSC22D4'	0.63	0.531	0.605	0.521
															'IER5L'	0.63	0.169	0.604	0.323
															'BCAR1'	0.63	0.502	0.604	0.352
															'MFSD3'	0.629	0.499	0.602	0.443
															'ATP11A'	0.628	0.203	0.601	0.371
															'SIGIRR'	0.628	0.452	-0.605	0.045
															'NOC2L'	0.628	0.413	-0.614	-0.291
															'CUEDC1'	0.627	0.553	-0.618	-0.275
															'GSK3A'	0.627	0.526	-0.628	-0.321
															'PHF5A'	0.627	0.493	-0.633	-0.119
															'EIF3G'	0.627	0.386	-0.65	-0.137
															'CCDC92'	0.626	0.39	-0.741	-0.188
															'GALE'	0.626	0.316	0.855	0.774
															'RHBDD3'	0.626	0.376	0.854	0.773
															'MYRF'	0.625	0.263	0.842	0.447
															'ENTPD2'	0.625	0.405	0.837	0.615
															'SLC44A2'	0.625	0.177	0.834	0.486
															'TLE2'	0.625	0.559	0.833	0.69
															'OAF'	0.624	0.118	0.822	0.299
															'SRSF9'	0.624	0.443	0.818	0.664
															'TMEM63B'	0.624	0.476	0.811	0.663
															'FGFR1'	0.624	0.392	0.81	0.686
															'ZFP36'	0.624	0.376	0.807	0.504
															'VASP'	0.623	0.431	0.797	0.578
															'RALY'	0.623	0.4	0.791	0.657
															'TMC4'	0.623	0.4	0.791	0.711
