geneIDs	a_cell	a_donor	geneIDs	b_cell	b_donor	geneIDs	g_cell	g_donor	geneIDs	d_cell	d_donor	geneIDs	acinar_cell	acinar_donor	geneIDs	ductal_cell	ductal_donor
'H1FX'	0.684	0.621	'LAMP1'	0.683	0.51							'PPP1R14B'	0.617	0.516	'MGAT4B'	0.771	0.581
'C5orf38'	0.682	0.512	'APLP1'	0.681	0.428							'PRKACA'	0.617	0.487	'VAC14'	0.767	0.4
'EDF1'	0.682	0.608	'CACNA1H'	0.679	0.458							'ANKRD9'	0.614	0.33	'CEBPB'	0.764	0.404
'RPS19'	0.681	0.521	'FLJ22184'	0.673	0.569							'IER5L'	0.613	0.169	'CYBA'	0.763	0.242
'PNRC1'	0.68	0.566	'JUP'	0.666	0.566							'ANKRD52'	0.613	0.449	'C19orf43'	0.761	0.596
'PARVB'	0.68	0.513	'PDX1'	0.665	0.156							'ATP11A'	0.612	0.203	'EPN1'	0.761	0.641
'CELF3'	0.676	0.587	'PLXNB2'	0.664	0.527							'FNTA'	0.612	0.289	'BRI3'	0.76	0.644
'RPS12'	0.674	0.574	'PNPLA2'	0.664	0.576							'GOLGA2P7'	0.61	0.269	'LAMA5'	0.76	0.437
'RPL3'	0.673	0.512	'FBXO2'	0.662	0.497							'VEGFB'	0.609	0.371	'SNRNP70'	0.758	0.665
'UBA52'	0.672	0.593	'TCEA2'	0.66	0.538							'DNAJB2'	0.609	0.44	'ATF6B'	0.757	0.396
'RPL31'	0.67	0.467	'TSR3'	0.658	0.588							'LINC01278'	0.607	0.399	'LAMP1'	0.757	0.51
'NUCB1'	0.668	0.587	'KCNQ2'	0.657	0.276							'BOK'	0.605	0.521	'CDC42EP5'	0.757	0.214
'RPL14'	0.666	0.589	'CDK5R2'	0.655	0.573							'WIZ'	0.604	0.323	'HES4'	0.755	0.242
'RPL23'	0.666	0.517	'MAPRE3'	0.655	0.593							'HPN'	0.604	0.352	'C17orf70'	0.754	0.415
'CDK5R2'	0.666	0.573	'SLC25A29'	0.653	0.563							'SRSF9'	0.602	0.443	'JUP'	0.754	0.566
'C1orf122'	0.664	0.567	'SPPL3'	0.65	0.422							'CDK18'	0.601	0.371	'GPC1'	0.754	0.32
'FIS1'	0.661	0.57	'LDOC1'	0.65	0.572							'DYNLL1'	-0.605	0.045	'ITM2C'	0.754	0.368
'FAU'	0.66	0.587	'CMTM8'	0.649	0.415							'RBP4'	-0.614	-0.291	'GAA'	0.752	0.658
'CLDN7'	0.655	0.594	'TMEM129'	0.648	0.553							'ARF4'	-0.618	-0.275	'RPS12'	0.751	0.574
'PTPRN'	0.654	0.515	'BOD1'	0.647	0.423							'ENPP2'	-0.628	-0.321	'TRIP6'	0.751	0.129
'CARM1'	0.653	0.574	'RGS11'	0.646	0.428							'PSMD10'	-0.633	-0.119	'RPL11'	0.746	0.657
'MGAT4B'	0.653	0.581	'POLR2A'	0.643	0.518							'ATP5O'	-0.65	-0.137	'QSOX1'	0.746	0.412
'RPS3'	0.653	0.552	'ACTN4'	0.641	0.573							'TM4SF4'	-0.741	-0.188	'CHCHD10'	0.745	0.631
'PTMS'	0.653	0.587	'B3GNT9'	0.639	0.536										'TRABD'	0.744	0.476
'RPS20'	0.65	0.569	'DNAJB2'	0.639	0.44										'NDUFA11'	0.744	0.672
'SLC29A4'	0.642	0.521	'SREBF1'	0.638	0.505										'G6PD'	0.743	0.569
'HSPB1'	0.639	0.461	'RBCK1'	0.636	0.482										'ARSA'	0.742	0.63
'GUK1'	0.638	0.543	'TMEM132A'	0.636	0.37										'TMEM259'	0.74	0.617
'ANXA6'	0.632	0.568	'MAFA'	0.635	0.118										'HLA-C'	0.74	0.411
'RPS24'	0.632	0.524	'TMEM59L'	0.633	0.465										'SDF4'	0.739	0.613
'TCEB2'	0.63	0.568	'LRP10'	0.631	0.567										'PAK4'	0.739	0.618
"NME2,uid_22041'"	0.63	0.555	'NFIC'	0.63	0.504										'ZNF580'	0.738	0.639
'MAFB'	0.628	0.448	'CORO1B'	0.629	0.545										'CDIPT'	0.738	0.469
'SEZ6L2'	0.628	0.518	'OLFM2'	0.625	0.306										'MMP24-AS1'	0.737	0.646
'RPL24'	0.623	0.521	'RPS27'	0.623	0.5										'EPS8L2'	0.737	0.469
'SRRM2'	0.622	0.537	'PCBP1'	0.623	0.487										'CLDN7'	0.737	0.594
'LTBP3'	0.621	0.537	'CXXC5'	0.623	0.434										'GRINA'	0.734	0.626
'APLP1'	0.62	0.428	'THAP11'	0.622	0.416										'TSR3'	0.733	0.588
'FASN'	0.619	0.548	'FLYWCH1'	0.621	0.399										'ZSCAN18'	0.733	0.568
'RPS7'	0.617	0.536	'PHF1'	0.619	0.445										'MRPL23'	0.733	0.623
'SEPT9'	0.615	0.504	'STMN3'	0.618	0.44										'PTGES2'	0.732	0.54
'COMTD1'	0.614	0.536	'MLXIPL'	0.617	0.412										'SMARCD3'	0.731	0.434
'RABAC1'	0.61	0.551	'ACAP3'	0.616	0.559										'TNIP1'	0.73	0.481
'VWA7'	0.608	0.522	'DYRK1B'	0.615	0.483										'RPS15A'	0.728	0.637
'DRAP1'	0.608	0.553	'DVL3'	0.615	0.535										'TMEM54'	0.727	0.587
'SLC5A1'	0.604	0.449	'SYN1'	0.614	0.501										'AGRN'	0.727	0.305
'RPL29'	0.602	0.506	'JUND'	0.613	0.46										'FAM134C'	0.726	0.413
'VSTM2L'	0.601	0.467	'EMC10'	0.613	0.461										'NENF'	0.725	0.649
'TM4SF4'	-0.604	-0.188	'PIM3'	0.612	0.502										'PTOV1'	0.725	0.597
'B2M'	-0.626	-0.399	'PRKACA'	0.612	0.487										'TLN1'	0.724	0.563
'SCG5'	-0.677	-0.346	'FAM58A'	0.611	0.46										'WFDC2'	0.723	0.209
			'PELI3'	0.609	0.418										'RPL7A'	0.721	0.64
			'ARFGAP1'	0.608	0.456										'RPS20'	0.721	0.569
			'CLTB'	0.608	0.551										'PLEC'	0.72	0.624
			'APP'	0.607	0.516										'MZT2A'	0.719	0.618
			'TESK1'	0.607	0.523										'DIRC2'	0.718	0.245
			'ECE1'	0.605	0.467										'ATPAF1'	0.717	0.37
			'PHLDB3'	0.605	0.538										'AP2A1'	0.716	0.638
			'LOC100130093'	0.605	0.386										'HDGFRP2'	0.716	0.559
			'NAT14'	0.603	0.545										'VWA1'	0.715	0.581
			'BAIAP2'	0.603	0.497										'CLUH'	0.714	0.351
			'ABCA3'	0.602	0.477										'PNPLA6'	0.713	0.526
			'FAM89B'	0.602	0.461										'DNTTIP1'	0.713	0.334
			'PLEKHH3'	0.602	0.481										'ANP32A'	0.713	0.457
			'MNT'	0.6	0.429										'TSPAN17'	0.713	0.498
			'G6PC2'	-0.6	-0.146										'CSNK1G2'	0.713	0.458
			'PFKFB2'	-0.6	0.077										'SLC38A10'	0.712	0.546
			'PAIP2'	-0.6	-0.318										'NCOR2'	0.712	0.625
			'YWHAE'	-0.601	-0.398										'UBA52'	0.712	0.593
			'HSP90AB1'	-0.601	-0.417										'SLC35C1'	0.709	0.385
			'SCG5'	-0.606	-0.346										'CST3'	0.709	0.63
			'PFN2'	-0.606	-0.115										'WBP2'	0.708	0.55
			'ASAH1'	-0.607	-0.389										'RPS19'	0.708	0.521
			'COX7A2'	-0.608	-0.128										'C1QTNF5+MFRP'	0.707	0.145
			'C14orf2'	-0.627	-0.26										'TRAPPC5'	0.707	0.496
			'DDX5'	-0.63	-0.556										'PVRL2'	0.707	0.492
			'RIN2'	-0.63	-0.364										'STARD10'	0.706	0.471
			'PPY'	-0.633	-0.56										'ANAPC2'	0.706	0.476
			'ALDH1A1'	-0.637	-0.242										'HLA-B'	0.705	0.374
			'SCG3'	-0.642	-0.202										'GPAA1'	0.705	0.585
			'PPP1CB'	-0.644	-0.524										'CPTP'	0.705	0.363
			'H2AFZ'	-0.65	-0.445										'YBX3'	0.705	0.061
			'SET'	-0.658	-0.575										'GSTP1'	0.704	0.168
			'CNBP'	-0.659	-0.432										'TMEM51'	0.704	0.353
			'MARCH6'	-0.661	-0.459										'CBX6'	0.702	0.592
			'LAPTM4A'	-0.664	-0.438										'PNPLA2'	0.702	0.576
			'PDIA3'	-0.665	-0.442										'MZT2B'	0.701	0.627
			'PCP4'	-0.665	-0.258										'TCEA2'	0.701	0.538
			'PRDX3'	-0.669	-0.474										'VAT1'	0.699	0.559
			'YWHAQ'	-0.686	-0.383										'EDF1'	0.698	0.608
			'PDIA3P1'	-0.694	-0.451										'LRCH4'	0.698	0.574
			'ENPP2'	-0.704	-0.321										'PPP2R4'	0.698	0.51
			'SRP9'	-0.708	-0.605										'SLC39A3'	0.698	0.518
			'SERINC1'	-0.714	-0.443										'PLD3'	0.697	0.593
			'TMEM59'	-0.723	-0.479										'RNPEPL1'	0.697	0.43
			'UBE2D3'	-0.728	-0.371										'FAU'	0.697	0.587
			'H3F3B'	-0.732	-0.536										'UBE2Z'	0.696	0.502
			'B2M'	-0.734	-0.399										'SLC25A23'	0.695	0.417
			'ATP6V1G1'	-0.743	-0.517										'SUPT5H'	0.694	0.511
			'NDUFA1'	-0.747	-0.49										'ZDHHC3'	0.694	0.306
			'TSPYL1'	-0.748	-0.553										'TPBG'	0.694	0.18
			'CALM2'	-0.874	-0.741										'MAP2K2'	0.693	0.534
															'HNRNPUL1'	0.693	0.571
															'PGLS'	0.693	0.471
															'MBD6'	0.693	0.501
															'RPSA'	0.691	0.48
															'NDUFA3'	0.691	0.614
															'ANKRD9'	0.691	0.33
															'DDR1'	0.69	0.383
															'RPS23'	0.69	0.556
															'GIPC1'	0.69	0.488
															'GAS6'	0.69	0.135
															'LAMTOR1'	0.689	0.543
															'SHISA5'	0.689	0.48
															'ANXA11'	0.689	0.4
															'TP53I13'	0.689	0.544
															'SRRM2'	0.688	0.537
															'RBPMS'	0.688	0.278
															'FIS1'	0.687	0.57
															'CCDC24'	0.687	0.407
															'ERGIC1'	0.687	0.424
															'TCIRG1'	0.687	0.323
															'MMP14'	0.686	0.168
															'RAB11FIP5'	0.686	0.373
															'RABEP2'	0.686	0.361
															'TINAGL1'	0.685	0.133
															'GGA1'	0.685	0.47
															'BRD4'	0.685	0.475
															'HLA-H'	0.684	0.276
															'MOB2'	0.684	0.484
															'GTF2IP1.uid_9260'	0.683	0.459
															'CHPF2'	0.683	0.538
															'CLN6'	0.683	0.431
															'PINK1'	0.683	0.576
															'NAA60'	0.682	0.528
															'PPP1R13L'	0.682	0.389
															'ANKRD52'	0.681	0.449
															'TSPO'	0.681	0.124
															'CLTB'	0.68	0.551
															'NOXA1'	0.68	0.371
															'TMEM132A'	0.679	0.37
															'RPL3'	0.678	0.512
															'CARD10'	0.677	0.25
															'PDAP1'	0.677	0.603
															'NPDC1'	0.676	0.613
															'TMEM175'	0.676	0.536
															'DNM2'	0.676	0.524
															'ECI1'	0.676	0.573
															'ARRDC1'	0.675	0.452
															'TBC1D17'	0.675	0.58
															'UCKL1'	0.674	0.45
															'MPG'	0.674	0.47
															'SCAP'	0.674	0.422
															'FRMD8'	0.673	0.36
															'AP2S1'	0.673	0.497
															'TPCN1'	0.672	0.461
															'PCBP1'	0.672	0.487
															'LEMD2'	0.672	0.588
															'SLC9A1'	0.671	0.323
															'RPL23'	0.671	0.517
															'NME2.uid_22041'	0.671	0.555
															'GPR137'	0.67	0.539
															'TAX1BP3'	0.67	0.347
															'BAZ2A'	0.67	0.49
															'DAPK3'	0.669	0.516
															'DAP'	0.669	0.474
															'PSKH1'	0.669	0.494
															'MESP1'	0.669	0.394
															'FBXL6'	0.669	0.341
															'ADAM15'	0.669	0.404
															'PPP4C'	0.669	0.483
															'GPR56'	0.668	0.519
															'C17orf62'	0.668	0.406
															'RRBP1'	0.668	0.373
															'SELO'	0.667	0.455
															'EMC10'	0.667	0.461
															'DAZAP1'	0.667	0.461
															'ZNF358'	0.667	0.547
															'NPRL3'	0.667	0.466
															'SLC43A2'	0.667	0.429
															'LRRC59'	0.667	0.347
															'ATP1A1'	0.666	0.346
															'LSR'	0.666	0.503
															'CDK12'	0.665	0.391
															'DBNDD1'	0.664	0.456
															'TMEM203'	0.663	0.492
															'FAM150B'	0.663	0.2
															'SF3A1'	0.662	0.342
															'EVC'	0.662	0.175
															'CANT1'	0.662	0.352
															'SLC25A1'	0.662	0.541
															'FAM129B'	0.661	0.311
															'PHLDB1'	0.661	0.238
															'TMEM129'	0.66	0.553
															'USP20'	0.659	0.428
															'IER3'	0.659	0.429
															'KCNQ1'	0.659	0.11
															'CLCN7'	0.659	0.536
															'DYNLRB1'	0.658	0.463
															'DPP3'	0.658	0.436
															'ZDHHC8'	0.657	0.493
															'RPS5'	0.657	0.582
															'CADM4'	0.657	0.381
															'ESRRA'	0.656	0.382
															'ATP5G2'	0.656	0.494
															'MAGEF1'	0.655	0.376
															'ENDOG'	0.654	0.498
															'MYO1D'	0.654	0.399
															'PNRC1'	0.654	0.566
															'UNC93B1'	0.654	0.416
															'SHISA4'	0.654	0.403
															'DVL3'	0.653	0.535
															'PIK3R2'	0.653	0.561
															'IGFBP7'	0.653	0.352
															'LY6E'	0.653	0.385
															'TMC6'	0.652	0.129
															'CDC34'	0.652	0.539
															'B3GAT3'	0.652	0.549
															'NSMF'	0.652	0.563
															'BAX'	0.652	0.472
															'NADK'	0.651	0.458
															'PKN1'	0.651	0.473
															'SLC25A10'	0.651	0.432
															'RPL10'	0.65	0.501
															'RNF126'	0.65	0.586
															'RPL12'	0.65	0.588
															'P4HTM'	0.65	0.444
															'PLXNA1'	0.649	0.307
															'NME3'	0.649	0.537
															'BCL2L1'	0.649	0.456
															'HS1BP3'	0.648	0.532
															'AP2A2'	0.648	0.464
															'ORAI3'	0.647	0.467
															'OGFR'	0.647	0.439
															'POLR2A'	0.646	0.518
															'MBD1'	0.646	0.292
															'URM1'	0.645	0.516
															'POMT1'	0.645	0.408
															'SZRD1'	0.645	0.58
															'TRIOBP'	0.645	0.259
															'DUSP28'	0.645	0.405
															'RPS28'	0.644	0.486
															'BLOC1S4'	0.644	0.317
															'SH3GL1'	0.643	0.441
															'CRAT'	0.643	0.467
															'CTXN1'	0.643	0.248
															'ATN1'	0.643	0.502
															'APP'	0.642	0.516
															'MAZ'	0.642	0.581
															'TBC1D10A'	0.642	0.401
															'FOXA2'	0.641	0.361
															'SLC52A2'	0.641	0.455
															'FLNA'	0.64	0.112
															'RNPEP'	0.64	0.381
															'DOT1L'	0.64	0.434
															'FAM160A2'	0.64	0.431
															'KAT8'	0.639	0.4
															'LTBP3'	0.639	0.537
															'ZNF800'	0.638	0.454
															'TTYH3'	0.637	0.264
															'TXNL4A'	0.637	0.507
															'MOV10'	0.636	0.386
															'TMEM184B'	0.636	0.499
															'GGT7'	0.635	0.409
															'MIDN'	0.634	0.483
															'TRIM28'	0.634	0.362
															'ATP6V0A1'	0.634	0.472
															'GSDMD'	0.634	0.37
															'EPHX1'	0.634	0.439
															'MBOAT7'	0.634	0.476
															'NCLN'	0.633	0.498
															'LZTS2'	0.633	0.352
															'KDM5C'	0.632	0.468
															'FAM195A'	0.632	0.526
															'MECP2'	0.632	0.364
															'PRKCD'	0.632	0.199
															'TFE3'	0.632	0.409
															'TRPC4AP'	0.631	0.409
															'DIP2C'	0.631	0.345
															'TSC22D4'	0.63	0.531
															'IER5L'	0.63	0.169
															'BCAR1'	0.63	0.502
															'MFSD3'	0.629	0.499
															'ATP11A'	0.628	0.203
															'SIGIRR'	0.628	0.452
															'NOC2L'	0.628	0.413
															'CUEDC1'	0.627	0.553
															'GSK3A'	0.627	0.526
															'PHF5A'	0.627	0.493
															'EIF3G'	0.627	0.386
															'CCDC92'	0.626	0.39
															'GALE'	0.626	0.316
															'RHBDD3'	0.626	0.376
															'MYRF'	0.625	0.263
															'ENTPD2'	0.625	0.405
															'SLC44A2'	0.625	0.177
															'TLE2'	0.625	0.559
															'OAF'	0.624	0.118
															'SRSF9'	0.624	0.443
															'TMEM63B'	0.624	0.476
															'FGFR1'	0.624	0.392
															'ZFP36'	0.624	0.376
															'VASP'	0.623	0.431
															'RALY'	0.623	0.4
															'TMC4'	0.623	0.4
															'SPSB2'	0.623	0.427
															'ATP13A1'	0.622	0.487
															'APRT'	0.622	0.508
															'ARFGAP1'	0.622	0.456
															'STK16'	0.622	0.493
															'SRC'	0.621	0.418
															'PACS1'	0.62	0.441
															'ZNF503'	0.62	0.194
															'SCAND1'	0.62	0.563
															'FN3K'	0.62	0.542
															'GPX1'	0.62	0.453
															'C19orf24'	0.62	0.505
															'GNAI2'	0.62	0.538
															'MEGF8'	0.619	0.361
															'PKM'	0.619	0.483
															'ACIN1'	0.619	0.348
															'TRAF4'	0.618	0.5
															'C10orf54'	0.618	0.137
															'MFI2'	0.618	0.235
															'STK25'	0.618	0.44
															'PRPF19'	0.618	0.454
															'BCL3'	0.618	0.393
															'RPL29'	0.617	0.506
															'TMEM102'	0.617	0.329
															'NCKIPSD'	0.617	0.43
															'KIF12'	0.617	0.502
															'POLR2L'	0.617	0.558
															'CLSTN1'	0.616	0.483
															'PELP1'	0.616	0.431
															'BACE2'	0.616	0.371
															'RAD23A'	0.615	0.53
															'PSMD3'	0.615	0.489
															'DOK4'	0.615	0.381
															'TPRA1'	0.615	0.401
															'SRCAP'	0.614	0.419
															'MOGS'	0.614	0.52
															'KMT2D'	0.613	0.452
															'COL18A1'	0.613	0.033
															'MFSD10'	0.613	0.531
															'MMP15'	0.613	0.44
															'CKAP4'	0.613	0.411
															'LZTR1'	0.613	0.391
															'NEURL1'	0.612	0.487
															'CX3CL1'	0.612	0.179
															'KLHL26'	0.612	0.33
															'PIM3'	0.612	0.502
															'PTTG1IP'	0.611	0.344
															'SLC9A8'	0.611	0.415
															'NOP14-AS1'	0.61	0.374
															'DDX23'	0.61	0.295
															'GRN'	0.61	0.488
															'PPP6R1'	0.61	0.517
															'DHX32'	0.61	0.272
															'PFKL'	0.61	0.552
															'TPT1'	0.609	0.368
															'PPP1R12C'	0.609	0.472
															'GATS'	0.609	0.335
															'SFT2D3'	0.609	0.362
															'SNF8'	0.609	0.494
															'TAF6'	0.608	0.445
															'CREB3L1'	0.608	0.239
															'REPIN1'	0.608	0.463
															'UCK1'	0.608	0.412
															'TRAPPC12'	0.607	0.436
															'C9orf89'	0.607	0.385
															'GANAB'	0.607	0.51
															'CIRBP'	0.606	0.317
															'DTX3'	0.606	0.529
															'TRIM26'	0.605	0.313
															'CCDC97'	0.605	0.348
															'VASN'	0.605	0.227
															'SGSM3'	0.605	0.44
															'SPNS1'	0.605	0.49
															'FAM210B'	0.605	0.346
															'LOC407835'	0.604	0.41
															'CITED2'	0.604	0.483
															'ETHE1'	0.604	0.358
															'PTPN6'	0.604	0.301
															'C19orf66'	0.604	0.418
															'CAPNS1'	0.603	0.131
															'DALRD3'	0.603	0.391
															'LLGL2'	0.603	0.382
															'ZDHHC1'	0.603	0.516
															'TMEM63A'	0.602	0.123
															'PIP5K1C'	0.602	0.355
															'PARP10'	0.601	0.419
															'SBNO2'	0.601	0.337
															'COPRS'	0.601	0.43
															'ZMIZ2'	0.601	0.387
															'CAPS'	0.601	0.295
															'TOM1'	0.6	0.444
															'DNAJB2'	0.6	0.44
															'NDN'	0.6	0.428
															'LAMP2'	-0.601	-0.315
															'ENPP2'	-0.602	-0.321
															'SDHD'	-0.615	-0.357
															'CD164'	-0.617	-0.363
															'TMBIM6'	-0.618	-0.245
															'ANXA5'	-0.622	-0.337
															'ARL6IP5'	-0.632	-0.231
															'PPY'	-0.633	-0.56
															'PSMA2'	-0.633	-0.294
															'SET'	-0.642	-0.575
															'VPS29'	-0.643	-0.279
															'UGT2B17'	-0.645	-0.116
															'SCP2'	-0.654	-0.35
															'ATP6V1G1'	-0.658	-0.517
															'CAPZA1'	-0.658	-0.489
															'DAZAP2'	-0.661	-0.256
															'DDX5'	-0.664	-0.556
															'C6orf62'	-0.669	-0.364
															'TSPYL1'	-0.674	-0.553
															'PRDX3'	-0.676	-0.474
															'ANXA2P1'	-0.678	-0.226
															'H3F3B'	-0.683	-0.536
															'CNN3'	-0.689	-0.033
															'ASAH1'	-0.694	-0.389
															'SKP1P2'	-0.7	-0.364
															'ARPC5'	-0.714	-0.366
															'B2M'	-0.732	-0.399
															'PPP1CB'	-0.736	-0.524
															'SKP1'	-0.778	-0.43
															'SRP9'	-0.786	-0.605
															'SDCBP'	-0.799	-0.284
